Date,Open,High,Low,Close,Change(Pips),Change(%)
04/27/2023 03:00,0.66076,0.66101,0.6605,0.66067,-0.9,-0.01
04/27/2023 02:00,0.66079,0.66131,0.66035,0.66075,-0.4,-0.01
04/27/2023 01:00,0.66088,0.66094,0.65999,0.66082,-0.6,-0.01
04/27/2023 00:00,0.66079,0.66089,0.66005,0.66086,0.7,0.01
04/26/2023 23:00,0.66079,0.66111,0.6607,0.66077,-0.2,0
04/26/2023 22:00,0.66029,0.66087,0.66029,0.66082,5.3,0.08
04/26/2023 21:00,0.65982,0.66041,0.65963,0.66036,5.4,0.08
04/26/2023 20:00,0.65962,0.66042,0.65944,0.66029,6.7,0.1
04/26/2023 19:00,0.65926,0.66008,0.6592,0.65965,3.9,0.06
04/26/2023 18:00,0.66019,0.6602,0.65912,0.65924,-9.5,-0.14
04/26/2023 17:00,0.66077,0.66099,0.66015,0.66021,-5.6,-0.08
04/26/2023 16:00,0.66149,0.66153,0.66019,0.66074,-7.5,-0.11
04/26/2023 15:00,0.66073,0.6619,0.66059,0.6615,7.7,0.12
04/26/2023 14:00,0.66155,0.66156,0.66026,0.66076,-7.9,-0.12
04/26/2023 13:00,0.66035,0.6618,0.66027,0.66154,11.9,0.18
04/26/2023 12:00,0.66022,0.66094,0.65986,0.66039,1.7,0.03
04/26/2023 11:00,0.66029,0.66152,0.65955,0.66024,-0.5,-0.01
04/26/2023 10:00,0.65982,0.66119,0.65982,0.66026,4.4,0.07
04/26/2023 09:00,0.66045,0.66064,0.65948,0.65978,-6.7,-0.1
04/26/2023 08:00,0.66104,0.66119,0.66004,0.66046,-5.8,-0.09
04/26/2023 07:00,0.6614,0.66179,0.6603,0.66101,-3.9,-0.06
04/26/2023 06:00,0.66077,0.6617,0.66028,0.66144,6.7,0.1
04/26/2023 05:00,0.66107,0.6615,0.66039,0.66078,-2.9,-0.04
04/26/2023 04:00,0.66066,0.66129,0.66026,0.6611,4.4,0.07
04/26/2023 03:00,0.66195,0.66202,0.66057,0.66062,-13.3,-0.2
04/26/2023 02:00,0.66263,0.66263,0.66133,0.66198,-6.5,-0.1
04/26/2023 01:00,0.66328,0.6634,0.66103,0.6626,-6.8,-0.1
04/26/2023 00:00,0.6636,0.6639,0.66296,0.6633,-3,-0.05
04/25/2023 23:00,0.6636,0.6638,0.66306,0.66358,-0.2,0
04/25/2023 22:00,0.66271,0.66385,0.66262,0.66365,9.4,0.14
04/25/2023 21:00,0.6625,0.6628,0.66225,0.66269,1.9,0.03
04/25/2023 20:00,0.66214,0.66272,0.66208,0.66258,4.4,0.07
04/25/2023 19:00,0.66183,0.66245,0.6617,0.66213,3,0.05
04/25/2023 18:00,0.6618,0.66206,0.66164,0.66185,0.5,0.01
04/25/2023 17:00,0.66239,0.66264,0.66143,0.66176,-6.3,-0.1
04/25/2023 16:00,0.66257,0.66271,0.66193,0.6624,-1.7,-0.03
04/25/2023 15:00,0.66331,0.66351,0.66257,0.66259,-7.2,-0.11
04/25/2023 14:00,0.66325,0.66392,0.6628,0.6633,0.5,0.01
04/25/2023 13:00,0.66537,0.66556,0.66301,0.66323,-21.4,-0.32
04/25/2023 12:00,0.66521,0.66595,0.66513,0.66532,1.1,0.02
04/25/2023 11:00,0.66607,0.66617,0.6651,0.66525,-8.2,-0.12
04/25/2023 10:00,0.6666,0.667,0.66594,0.66607,-5.3,-0.08
04/25/2023 09:00,0.66659,0.66706,0.66637,0.66665,0.6,0.01
04/25/2023 08:00,0.6659,0.66663,0.66521,0.66654,6.4,0.1
04/25/2023 07:00,0.6678,0.66851,0.66572,0.66597,-18.3,-0.27
04/25/2023 06:00,0.66775,0.66875,0.66765,0.66776,0.1,0
04/25/2023 05:00,0.66785,0.66816,0.66712,0.66786,0.1,0
04/25/2023 04:00,0.66789,0.66796,0.66738,0.66781,-0.8,-0.01
04/25/2023 03:00,0.66816,0.66843,0.66773,0.6679,-2.6,-0.04
04/25/2023 02:00,0.66904,0.6691,0.6679,0.66817,-8.7,-0.13
04/25/2023 01:00,0.66955,0.67044,0.66906,0.66906,-4.9,-0.07
04/25/2023 00:00,0.67035,0.67055,0.66953,0.66955,-8,-0.12
04/24/2023 23:00,0.66996,0.67049,0.66982,0.67034,3.8,0.06
04/24/2023 22:00,0.6694,0.66997,0.66939,0.66995,5.5,0.08
04/24/2023 21:00,0.66933,0.66944,0.66909,0.66936,0.3,0
04/24/2023 20:00,0.66945,0.66965,0.66939,0.66964,1.9,0.03
04/24/2023 19:00,0.66929,0.6695,0.66914,0.66945,1.6,0.02
04/24/2023 18:00,0.66917,0.66939,0.66888,0.66926,0.9,0.01
04/24/2023 17:00,0.66853,0.66927,0.66846,0.66919,6.6,0.1
04/24/2023 16:00,0.66795,0.66853,0.66782,0.66852,5.7,0.09
04/24/2023 15:00,0.66943,0.6696,0.66782,0.66796,-14.7,-0.22
04/24/2023 14:00,0.6683,0.66975,0.66804,0.66942,11.2,0.17
04/24/2023 13:00,0.66855,0.66869,0.66737,0.66829,-2.6,-0.04
04/24/2023 12:00,0.6682,0.66888,0.66779,0.6686,4,0.06
04/24/2023 11:00,0.66812,0.66851,0.66792,0.66821,0.9,0.01
04/24/2023 10:00,0.66816,0.66835,0.66776,0.66806,-1,-0.01
04/24/2023 09:00,0.66884,0.66947,0.66809,0.66817,-6.7,-0.1
04/24/2023 08:00,0.66841,0.66899,0.66778,0.66882,4.1,0.06
04/24/2023 07:00,0.66696,0.66852,0.66672,0.66839,14.3,0.21
04/24/2023 06:00,0.6676,0.66776,0.66656,0.66699,-6.1,-0.09
04/24/2023 05:00,0.66755,0.66768,0.66699,0.66759,0.4,0.01
04/24/2023 04:00,0.66793,0.66806,0.66718,0.66753,-4,-0.06
04/24/2023 03:00,0.66803,0.66836,0.66779,0.66799,-0.4,-0.01
04/24/2023 02:00,0.66837,0.6689,0.66801,0.66806,-3.1,-0.05
04/24/2023 01:00,0.66949,0.66953,0.66823,0.66834,-11.5,-0.17
04/24/2023 00:00,0.66909,0.66957,0.66825,0.66953,4.4,0.07
04/23/2023 23:00,0.66953,0.66978,0.66911,0.66911,-4.2,-0.06
